Exchange Date,Close,Net,%Chg,Open,Low,High,log_return
06-Oct-2021,"4,363.5452",+17.8290,+0.4103%,"4,363.5452","4,363.5452","4,363.5452",0.004094268
05-Oct-2021,"4,345.7162",+45.2572,+1.0524%,"4,345.7162","4,345.7162","4,345.7162",0.010468817
04-Oct-2021,"4,300.4590",-56.5799,-1.2986%,"4,300.4590","4,300.4590","4,300.4590",-0.013070914
01-Oct-2021,"4,357.0389",+49.5001,+1.1492%,"4,357.0389","4,357.0389","4,357.0389",0.011425978
30-Sep-2021,"4,307.5388",-51.9223,-1.1910%,"4,307.5388","4,307.5388","4,307.5388",-0.011981752
29-Sep-2021,"4,359.4611",+6.8268,+0.1568%,"4,359.4611","4,359.4611","4,359.4611",0.001567201
28-Sep-2021,"4,352.6343",-90.4761,-2.0363%,"4,352.6343","4,352.6343","4,352.6343",-0.020573424
27-Sep-2021,"4,443.1104",-12.3675,-0.2776%,"4,443.1104","4,443.1104","4,443.1104",-0.002779656
24-Sep-2021,"4,455.4779",+6.4938,+0.1460%,"4,455.4779","4,455.4779","4,455.4779",0.00145855
23-Sep-2021,"4,448.9841",+53.3470,+1.2136%,"4,448.9841","4,448.9841","4,448.9841",0.012063297
22-Sep-2021,"4,395.6371",+41.4482,+0.9519%,"4,395.6371","4,395.6371","4,395.6371",0.009474134
21-Sep-2021,"4,354.1889",-3.5390,-0.0812%,"4,354.1889","4,354.1889","4,354.1889",-0.00081245
20-Sep-2021,"4,357.7279",-75.2596,-1.6977%,"4,357.7279","4,357.7279","4,357.7279",-0.017122938
17-Sep-2021,"4,432.9875",-40.7653,-0.9112%,"4,432.9875","4,432.9875","4,432.9875",-0.009153873
16-Sep-2021,"4,473.7528",-6.9487,-0.1551%,"4,473.7528","4,473.7528","4,473.7528",-0.00155201
15-Sep-2021,"4,480.7015",+37.6516,+0.8474%,"4,480.7015","4,480.7015","4,480.7015",0.008438564
14-Sep-2021,"4,443.0499",-25.6764,-0.5746%,"4,443.0499","4,443.0499","4,443.0499",-0.005762369
13-Sep-2021,"4,468.7263",+10.1464,+0.2276%,"4,468.7263","4,468.7263","4,468.7263",0.002273117
10-Sep-2021,"4,458.5799",-34.7044,-0.7724%,"4,458.5799","4,458.5799","4,458.5799",-0.007753597
09-Sep-2021,"4,493.2843",-20.7842,-0.4604%,"4,493.2843","4,493.2843","4,493.2843",-0.004614949
08-Sep-2021,"4,514.0685",-5.9593,-0.1318%,"4,514.0685","4,514.0685","4,514.0685",-0.001319291
07-Sep-2021,"4,520.0278",-15.4048,-0.3397%,"4,520.0278","4,520.0278","4,520.0278",-0.003402326
03-Sep-2021,"4,535.4326",-1.5136,-0.0334%,"4,535.4326","4,535.4326","4,535.4326",-0.000333672
02-Sep-2021,"4,536.9462",+12.8539,+0.2841%,"4,536.9462","4,536.9462","4,536.9462",0.002837182
01-Sep-2021,"4,524.0923",+1.4122,+0.0312%,"4,524.0923","4,524.0923","4,524.0923",0.0003122
31-Aug-2021,"4,522.6801",-6.1136,-0.1350%,"4,522.6801","4,522.6801","4,522.6801",-0.001350852
30-Aug-2021,"4,528.7937",+19.4246,+0.4308%,"4,528.7937","4,528.7937","4,528.7937",0.004298358
27-Aug-2021,"4,509.3691",+39.3727,+0.8808%,"4,509.3691","4,509.3691","4,509.3691",0.008769651
26-Aug-2021,"4,469.9964",-26.1945,-0.5826%,"4,469.9964","4,469.9964","4,469.9964",-0.005842968
25-Aug-2021,"4,496.1909",+9.9568,+0.2219%,"4,496.1909","4,496.1909","4,496.1909",0.002216952
24-Aug-2021,"4,486.2341",+6.7036,+0.1496%,"4,486.2341","4,486.2341","4,486.2341",0.001495377
23-Aug-2021,"4,479.5305",+37.8653,+0.8525%,"4,479.5305","4,479.5305","4,479.5305",0.008488891
20-Aug-2021,"4,441.6652",+35.8623,+0.8140%,"4,441.6652","4,441.6652","4,441.6652",0.008106838
19-Aug-2021,"4,405.8029",+5.5366,+0.1258%,"4,405.8029","4,405.8029","4,405.8029",0.001257451
18-Aug-2021,"4,400.2663",-47.8091,-1.0748%,"4,400.2663","4,400.2663","4,400.2663",-0.010806446
17-Aug-2021,"4,448.0754",-31.6333,-0.7061%,"4,448.0754","4,448.0754","4,448.0754",-0.007086514
16-Aug-2021,"4,479.7087",+11.7055,+0.2620%,"4,479.7087","4,479.7087","4,479.7087",0.002616425
13-Aug-2021,"4,468.0032",+7.1713,+0.1608%,"4,468.0032","4,468.0032","4,468.0032",0.001606324
12-Aug-2021,"4,460.8319",+13.1283,+0.2952%,"4,460.8319","4,460.8319","4,460.8319",0.002947355
11-Aug-2021,"4,447.7036",+10.9507,+0.2468%,"4,447.7036","4,447.7036","4,447.7036",0.002465138
10-Aug-2021,"4,436.7529",+4.3999,+0.0993%,"4,436.7529","4,436.7529","4,436.7529",0.000992186
09-Aug-2021,"4,432.3530",-4.1648,-0.0939%,"4,432.3530","4,432.3530","4,432.3530",-0.000939195
06-Aug-2021,"4,436.5178",+7.4148,+0.1674%,"4,436.5178","4,436.5178","4,436.5178",0.001672709
05-Aug-2021,"4,429.1030",+26.4420,+0.6006%,"4,429.1030","4,429.1030","4,429.1030",0.00598795
04-Aug-2021,"4,402.6610",-20.4926,-0.4633%,"4,402.6610","4,402.6610","4,402.6610",-0.004643795
03-Aug-2021,"4,423.1536",+35.9977,+0.8205%,"4,423.1536","4,423.1536","4,423.1536",0.008171767
02-Aug-2021,"4,387.1559",-8.1081,-0.1845%,"4,387.1559","4,387.1559","4,387.1559",-0.001846439
30-Jul-2021,"4,395.2640",-23.8848,-0.5405%,"4,395.2640","4,395.2640","4,395.2640",-0.005419501
29-Jul-2021,"4,419.1488",+18.5133,+0.4207%,"4,419.1488","4,419.1488","4,419.1488",0.004198136
28-Jul-2021,"4,400.6355",-0.8276,-0.0188%,"4,400.6355","4,400.6355","4,400.6355",-0.000188046
27-Jul-2021,"4,401.4631",-20.8404,-0.4713%,"4,401.4631","4,401.4631","4,401.4631",-0.004723706
26-Jul-2021,"4,422.3035",+10.5111,+0.2383%,"4,422.3035","4,422.3035","4,422.3035",0.002379667
23-Jul-2021,"4,411.7924",+44.3173,+1.0147%,"4,411.7924","4,411.7924","4,411.7924",0.010095985
22-Jul-2021,"4,367.4751",+8.7818,+0.2015%,"4,367.4751","4,367.4751","4,367.4751",0.002012751
21-Jul-2021,"4,358.6933",+35.6347,+0.8243%,"4,358.6933","4,358.6933","4,358.6933",0.00820915
